At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""104""","=""Rf XI""","=""+10""","=""Rutherfordium""","=""Pu""","=""[Rn].5f8""","=""7F<6>""","=""5f7 8S*<7/2>""","=""(""","=""193.0""","="")""","=""2.4""","=""L8672c99""",
"=""104""","=""Rf XII""","=""+11""","=""Rutherfordium""","=""Np""","=""[Rn].5f7""","=""8S*<7/2>""","=""5f6 7F<0>""","=""(""","=""225.0""","="")""","=""2.5""","=""L8672c99""",
"=""104""","=""Rf XIII""","=""+12""","=""Rutherfordium""","=""U""","=""[Rn].5f6""","=""7F0""","=""5f5 6H*<5/2>""","=""(""","=""244""","="")""","=""3""","=""L8672c99""",
"=""104""","=""Rf XIV""","=""+13""","=""Rutherfordium""","=""Pa""","=""[Rn].5f5""","=""6H*<5/2>""","=""5f4 5I<4>""","=""(""","=""275""","="")""","=""3""","=""L8672c99""",
"=""104""","=""Rf XV""","=""+14""","=""Rutherfordium""","=""Th""","=""[Rn].5f4""","=""5I<4>""","=""""","=""""","=""""","=""""","=""""","=""""",
"=""104""","=""Rf XXVII""","=""+26""","=""Rutherfordium""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""(""","=""791""","="")""","=""4""","=""L8672c99""",
"=""104""","=""Rf XXVIII""","=""+27""","=""Rutherfordium""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""(""","=""825""","="")""","=""4""","=""L8672c99""",
"=""104""","=""Rf XXIX""","=""+28""","=""Rutherfordium""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""(""","=""860""","="")""","=""4""","=""L8672c99""",
"=""104""","=""Rf XXX""","=""+29""","=""Rutherfordium""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""(""","=""899""","="")""","=""4""","=""L8672c99""",
"=""104""","=""Rf XXXI""","=""+30""","=""Rutherfordium""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""936""","="")""","=""4""","=""L8672c99""",
