At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""107""","=""Bh LXXXV""","=""+84""","=""Bohrium""","=""V""","=""[Ar].3d5""","=""(0,5/2)<5/2>""","=""3d4 5D<0>""","=""(""","=""11980""","="")""","=""200""","=""L8672c99""",
"=""107""","=""Bh LXXXVI""","=""+85""","=""Bohrium""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""12610""","="")""","=""220""","=""L8672c99""",
"=""107""","=""Bh LXXXVII""","=""+86""","=""Bohrium""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""12830""","="")""","=""240""","=""L8672c99""",
"=""107""","=""Bh LXXXVIII""","=""+87""","=""Bohrium""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""13070""","="")""","=""250""","=""L8672c99""",
"=""107""","=""Bh LXXXIX""","=""+88""","=""Bohrium""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""13300""","="")""","=""300""","=""L8672c99""",
"=""107""","=""Bh XC""","=""+89""","=""Bohrium""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""(""","=""13900""","="")""","=""300""","=""L8672c99""",
"=""107""","=""Bh XCI""","=""+90""","=""Bohrium""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""(""","=""14100""","="")""","=""300""","=""L8672c99""",
"=""107""","=""Bh XCII""","=""+91""","=""Bohrium""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 2P*<3/2>""","=""(""","=""14300""","="")""","=""300""","=""L8672c99""",
"=""107""","=""Bh XCIII""","=""+92""","=""Bohrium""","=""P""","=""[Ne].3s2.3p3""","=""2P*<3/2>""","=""3p2 3P<0>""","=""(""","=""14500""","="")""","=""400""","=""L8672c99""",
"=""107""","=""Bh XCIV""","=""+93""","=""Bohrium""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""(""","=""17000""","="")""","=""400""","=""L8672c99""",
"=""107""","=""Bh XCV""","=""+94""","=""Bohrium""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""(""","=""17300""","="")""","=""400""","=""L8672c99""",
"=""107""","=""Bh XCVI""","=""+95""","=""Bohrium""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""(""","=""17700""","="")""","=""400""","=""L8672c99""",
"=""107""","=""Bh XCVII""","=""+96""","=""Bohrium""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""(""","=""18000""","="")""","=""400""","=""L8672c99""",
